field_1,longitude,latitude,coords,"join_STATEFP,C,2","join_COUNTYFP,C,3","join_TRACTCE,C,6","join_GEOID,C,11","join_NAME,C,7","join_NAMELSAD,C,20","join_MTFCC,C,5","join_FUNCSTAT,C,1","join_ALAND,N,14,0","join_AWATER,N,14,0","join_INTPTLAT,C,11","join_INTPTLON,C,12",distance
"25",-82.5,27.3,"27.3, -82.5","12","115","1602","12115001602",16.02,Census Tract 16.02,G5020,S,"2464871","105717",27.3020383,-82.5001774,0.00204600529080318
"26",-82.5,27.4,"27.4, -82.5","12","81","809","12081000809",8.09,Census Tract 8.09,G5020,S,"4724322","0",27.396738,-82.4999956,0.00326200296750267
"27",-82.5,27.5,"27.5, -82.5","12","81","2003","12081002003",20.03,Census Tract 20.03,G5020,S,"5966176","2482021",27.5042662,-82.5036551,0.00561784820460849
"28",-82.5,27.9,"27.9, -82.5","12","57","6700","12057006700",67,Census Tract 67,G5020,S,"2813282","380199",27.9010263,-82.4990099,0.00142603986620208
"29",-82.5,28,"28.0, -82.5","12","57","11904","12057011904",119.04,Census Tract 119.04,G5020,S,"512448","12268",28.0009085,-82.5030102,0.00314430855515744
"30",-82.5,28.1,"28.1, -82.5","12","57","11524","12057011524",115.24,Census Tract 115.24,G5020,S,"2179968","64390",28.1030635,-82.508636,0.00916327060879044
"31",-82.5,28.2,"28.2, -82.5","12","101","31605","12101031605",316.05,Census Tract 316.05,G5020,S,"16924693","908624",28.1847719,-82.5023453,0.0154076429638005
"32",-82.4,27.1,"27.1, -82.4","12","115","2715","12115002715",27.15,Census Tract 27.15,G5020,S,"11950929","545703",27.0949002,-82.3969453,0.00594467426610091
"33",-82.4,27.3,"27.3, -82.4","12","115","1403","12115001403",14.03,Census Tract 14.03,G5020,S,"19696101","1442609",27.2783437,-82.4092082,0.0235326640423434
"34",-82.4,27.7,"27.7, -82.4","12","57","14109","12057014109",141.09,Census Tract 141.09,G5020,S,"11421900","1894329",27.700351,-82.4206306,0.0206335856641443
"35",-82.4,27.8,"27.8, -82.4","12","57","14117","12057014117",141.17,Census Tract 141.17,G5020,S,"4072268","2586755",27.782857,-82.4101039,0.0198990262126021
"36",-82.4,27.9,"27.9, -82.4","12","57","13602","12057013602",136.02,Census Tract 136.02,G5020,S,"7907699","66478",27.9051445,-82.3879143,0.0131350685091477
"37",-82.4,28,"28.0, -82.4","12","57","10502","12057010502",105.02,Census Tract 105.02,G5020,S,"2496830","79995",28.0088618,-82.3967491,0.00943927169065739
"38",-82.4,28.1,"28.1, -82.4","12","57","11016","12057011016",110.16,Census Tract 110.16,G5020,S,"5295672","147453",28.1040553,-82.3796956,0.0207054127572961
"39",-82.4,28.2,"28.2, -82.4","12","101","32010","12101032010",320.1,Census Tract 320.10,G5020,S,"7230040","0",28.2096395,-82.4063919,0.0115661724809898
"40",-82.4,29,"29.0, -82.4","12","17","450102","12017450102",4501.02,Census Tract 4501.02,G5020,S,"49350045","5163417",28.9799752,-82.3767355,0.0306957582621859
"41",-82.3,27.1,"27.1, -82.3","12","115","2719","12115002719",27.19,Census Tract 27.19,G5020,S,"19818743","914030",27.0610138,-82.3277159,0.0478340349881779
"42",-82.3,27.3,"27.3, -82.3","12","115","2713","12115002713",27.13,Census Tract 27.13,G5020,S,"735890120","21717475",27.1981949,-82.2604895,0.109203287479175
"43",-82.3,27.8,"27.8, -82.3","12","57","13917","12057013917",139.17,Census Tract 139.17,G5020,S,"4233942","238628",27.801761,-82.307086,0.00730154209739346
"44",-82.3,27.9,"27.9, -82.3","12","57","13322","12057013322",133.22,Census Tract 133.22,G5020,S,"3398740","128018",27.9003433,-82.304656,0.00466863908328472
"45",-82.3,28,"28.0, -82.3","12","57","12107","12057012107",121.07,Census Tract 121.07,G5020,S,"5429675","18834",27.9914239,-82.2920184,0.0117156062484996
"46",-82.3,28.1,"28.1, -82.3","12","57","980400","12057980400",9804,Census Tract 9804,G5020,S,"34850436","409008",28.1092451,-82.2884284,0.0148112727532063
"47",-82.3,28.2,"28.2, -82.3","12","101","32111","12101032111",321.11,Census Tract 321.11,G5020,S,"6677794","0",28.1890224,-82.3048683,0.0120086654816425
"48",-82.3,28.6,"28.6, -82.3","12","53","40201","12053040201",402.01,Census Tract 402.01,G5020,S,"83300977","1405680",28.615086,-82.3027221,0.0153296191867249
"49",-82.2,27.3,"27.3, -82.2","12","81","2010","12081002010",20.1,Census Tract 20.10,G5020,S,"570490957","2073835",27.3240598,-82.1762969,0.0337744122917079
"50",-82.2,28.2,"28.2, -82.2","12","101","33014","12101033014",330.14,Census Tract 330.14,G5020,S,"19147428","0",28.1907669,-82.182192,0.0200592871161981
"51",-82.2,28.5,"28.5, -82.2","12","53","40102","12053040102",401.02,Census Tract 401.02,G5020,S,"31927034","829731",28.4953362,-82.214836,0.0155517820985271
"52",-82.2,28.6,"28.6, -82.2","12","119","911000","12119911000",9110,Census Tract 9110,G5020,S,"1465714","0",28.6191159,-82.2114839,0.0223001702240142
"53",-82.1,27,"27.0, -82.1","12","15","20700","12015020700",207,Census Tract 207,G5020,S,"2619776","106556",26.9907679,-82.1015467,0.00936076659788014
"54",-82.1,28,"28.0, -82.1","12","57","12900","12057012900",129,Census Tract 129,G5020,S,"3578550","106375",28.0044014,-82.1110148,0.0118616247200905
"55",-82,26.9,"26.9, -82.0","12","15","10501","12015010501",105.01,Census Tract 105.01,G5020,S,"46558648","1559585",26.910363,-81.9928748,0.0125761776402887
"56",-82,27.4,"27.4, -82.0","12","49","970400","12049970400",9704,Census Tract 9704,G5020,S,"410469836","408719",27.4342821,-81.9357662,0.0728096383925214
"57",-82,28,"28.0, -82.0","12","105","12003","12105012003",120.03,Census Tract 120.03,G5020,S,"15638810","599044",28.0151458,-81.9971695,0.0154080170005742
"58",-81.9,27.5,"27.5, -81.9","12","49","970300","12049970300",9703,Census Tract 9703,G5020,S,"250225468","438580",27.5531043,-81.9397446,0.0663302337373347
"59",-81.8,26.4,"26.4, -81.8","12","71","50307","12071050307",503.07,Census Tract 503.07,G5020,S,"11541872","85341",26.4041542,-81.7918446,0.00915248200216186
"60",-81.8,27.6,"27.6, -81.8","12","49","970201","12049970201",9702.01,Census Tract 9702.01,G5020,S,"43728047","108167",27.6047539,-81.7890112,0.011973023454826
"61",-81.8,30.3,"30.3, -81.8","12","31","11903","12031011903",119.03,Census Tract 119.03,G5020,S,"7209519","199330",30.3102146,-81.806484,0.0120987730435758
"62",-81.6,28.5,"28.5, -81.6","12","95","17105","12095017105",171.05,Census Tract 171.05,G5020,S,"53113139","12862137",28.4829454,-81.6064624,0.0182379273745704
"63",-81.5,28.1,"28.1, -81.5","12","105","12503","12105012503",125.03,Census Tract 125.03,G5020,S,"54693215","1473541",28.093567,-81.4838036,0.0174271874368747
"64",-81.5,28.5,"28.5, -81.5","12","95","14810","12095014810",148.1,Census Tract 148.10,G5020,S,"5323145","53743",28.4814471,-81.4989892,0.0185804148244863
"65",-81.5,28.6,"28.6, -81.5","12","95","15004","12095015004",150.04,Census Tract 150.04,G5020,S,"6504032","664188",28.5940333,-81.5103964,0.0119869362995772
"66",-81.5,30.3,"30.3, -81.5","12","31","14337","12031014337",143.37,Census Tract 143.37,G5020,S,"6523600","7802",30.3101697,-81.498536,0.0102745361982899
"67",-81.4,28.6,"28.6, -81.4","12","95","15300","12095015300",153,Census Tract 153,G5020,S,"3889207","360498",28.5939731,-81.391172,0.0106891116380254
"68",-81.3,28.2,"28.2, -81.3","12","97","43204","12097043204",432.04,Census Tract 432.04,G5020,S,"16650265","12389",28.2183062,-81.3052971,0.0190571830775203
"69",-81.3,28.6,"28.6, -81.3","12","95","16302","12095016302",163.02,Census Tract 163.02,G5020,S,"1974695","0",28.6057436,-81.2994747,0.00576757150367283
"70",-81.3,28.8,"28.8, -81.3","12","117","20402","12117020402",204.02,Census Tract 204.02,G5020,S,"4029828","0",28.7940947,-81.3037003,0.00696884410645443
"71",-81.3,29.9,"29.9, -81.3","12","109","20500","12109020500",205,Census Tract 205,G5020,S,"4491664","2951776",29.8881401,-81.2999036,0.0118602917742331
"72",-81,29.3,"29.3, -81.0","12","127","80500","12127080500",805,Census Tract 805,G5020,S,"2192441","2048753",29.2769464,-81.0364869,0.0431597305896368
"73",-80.9,27.3,"27.3, -80.9","12","93","910201","12093910201",9102.01,Census Tract 9102.01,G5020,S,"58647142","426399",27.2975931,-80.8689223,0.0311707652280261
"74",-80.7,28.3,"28.3, -80.7","12","9","63104","12009063104",631.04,Census Tract 631.04,G5020,S,"6579548","0",28.3056589,-80.719499,0.0203035501873405
"75",-80.5,27.8,"27.8, -80.5","12","61","50807","12061050807",508.07,Census Tract 508.07,G5020,S,"6637795","0",27.7933984,-80.4979934,0.00689982362963015
"76",-80.4,25.7,"25.7, -80.4","12","86","17200","12086017200",172,Census Tract 172,G5020,S,"1413827","0",25.6967873,-80.4026885,0.00418920917834655
"77",-80.4,25.8,"25.8, -80.4","12","86","14400","12086014400",144,Census Tract 144,G5020,S,"1871261","274955",25.776273,-80.3934315,0.0246194175652075
"78",-80.3,25.7,"25.7, -80.3","12","86","7604","12086007604",76.04,Census Tract 76.04,G5020,S,"3456723","63707",25.6956887,-80.2960594,0.00584085918764729
"79",-80.3,25.8,"25.8, -80.3","12","86","980500","12086980500",9805,Census Tract 9805,G5020,S,"15655755","1571969",25.7948921,-80.2884922,0.0125904766887562
"80",-80.3,25.9,"25.9, -80.3","12","86","9307","12086009307",93.07,Census Tract 93.07,G5020,S,"1267992","77800",25.8928296,-80.2964004,0.00802320112673263
"81",-80.3,26,"26.0, -80.3","12","11","110336","12011110336",1103.36,Census Tract 1103.36,G5020,S,"2582718","0",26.0005625,-80.3040837,0.00412225811177311
"82",-80.3,26.2,"26.2, -80.3","12","11","60111","12011060111",601.11,Census Tract 601.11,G5020,S,"4588384","245655",26.2068831,-80.2835069,0.0178717490251989
"83",-80.2,25.8,"25.8, -80.2","12","86","2800","12086002800",28,Census Tract 28,G5020,S,"889177","0",25.7996719,-80.19911,0.00094855132175201
"84",-80.2,25.9,"25.9, -80.2","12","86","308","12086000308",3.08,Census Tract 3.08,G5020,S,"1940305","66039",25.894923,-80.1971389,0.00582767725685141
"85",-80.2,26.2,"26.2, -80.2","12","11","50309","12011050309",503.09,Census Tract 503.09,G5020,S,"599305","21380",26.192227,-80.2074463,0.0107641494178581
"86",-80.2,26.3,"26.3, -80.2","12","11","10609","12011010609",106.09,Census Tract 106.09,G5020,S,"2880819","263317",26.3101608,-80.198218,0.0103158800225659
"87",-80.1,25.9,"25.9, -80.1","12","86","3803","12086003803",38.03,Census Tract 38.03,G5020,S,"992933","676290",25.8933415,-80.1231882,0.0241252614802478
"88",-87.5,30.3,"30.3, -87.5","12","33","2604","12033002604",26.04,Census Tract 26.04,G5020,S,"16210443","30368164",30.3666239,-87.4207461,0.103537069286414
"89",-87.4,30.3,"30.3, -87.4","12","33","2602","12033002602",26.02,Census Tract 26.02,G5020,S,"10907103","20412761",30.3112537,-87.3661982,0.0356259378393109
"90",-87.4,30.4,"30.4, -87.4","12","33","2601","12033002601",26.01,Census Tract 26.01,G5020,S,"13929690","5375537",30.3885299,-87.3889702,0.0159128778682547
"91",-87.4,30.5,"30.5, -87.4","12","33","3603","12033003603",36.03,Census Tract 36.03,G5020,S,"93980031","4979492",30.5007855,-87.3946203,0.00543674372580345
"92",-87.4,30.6,"30.6, -87.4","12","33","3613","12033003613",36.13,Census Tract 36.13,G5020,S,"70015375","776640",30.6126242,-87.3794964,0.0240783728395512
"93",-87.4,30.7,"30.7, -87.4","12","33","3613","12033003613",36.13,Census Tract 36.13,G5020,S,"70015375","776640",30.6126242,-87.3794964,0.0897492509082975
"94",-87.3,30.4,"30.4, -87.3","12","33","2804","12033002804",28.04,Census Tract 28.04,G5020,S,"3928544","15608",30.4003904,-87.2939555,0.00605709438675173
"95",-87.3,30.5,"30.5, -87.3","12","33","3203","12033003203",32.03,Census Tract 32.03,G5020,S,"9098396","107619",30.5067768,-87.2977104,0.00715313123044721
"96",-87.3,30.6,"30.6, -87.3","12","33","3700","12033003700",37,Census Tract 37,G5020,S,"17168362","564110",30.5881193,-87.325268,0.0279217273192384
"97",-87.3,30.9,"30.9, -87.3","12","33","4000","12033004000",40,Census Tract 40,G5020,S,"93902166","4394044",30.9674894,-87.2779276,0.0710071119967596
"98",-87.2,30.3,"30.3, -87.2","12","33","990000","12033990000",9900,Census Tract 9900,G5020,S,"0","305635307",30.2973199,-87.2176269,0.0178294851193147
"99",-87.2,30.4,"30.4, -87.2","12","33","800","12033000800",8,Census Tract 8,G5020,S,"5474262","5628930",30.4134307,-87.2015726,0.013522454409242
"100",-87.2,30.5,"30.5, -87.2","12","33","3505","12033003505",35.05,Census Tract 35.05,G5020,S,"2884316","0",30.5063705,-87.2023839,0.00680192983350904
"101",-87.2,30.6,"30.6, -87.2","12","113","10707","12113010707",107.07,Census Tract 107.07,G5020,S,"47088861","5498413",30.6187977,-87.2109052,0.0217319330095093
"102",-87.2,30.7,"30.7, -87.2","12","113","10300","12113010300",103,Census Tract 103,G5020,S,"205110960","1608140",30.708467,-87.2020111,0.00870256354242873
"103",-87.1,30.3,"30.3, -87.1","12","33","2500","12033002500",25,Census Tract 25,G5020,S,"19034656","64006701",30.3401888,-87.1137945,0.0424903268484725
"104",-87.1,30.4,"30.4, -87.1","12","113","10813","12113010813",108.13,Census Tract 108.13,G5020,S,"4716768","8356846",30.3883418,-87.0990284,0.0116986167472905
"105",-87.1,30.5,"30.5, -87.1","12","113","10702","12113010702",107.02,Census Tract 107.02,G5020,S,"94691197","113435455",30.5006583,-87.0672102,0.032796407469863
"106",-87.1,30.6,"30.6, -87.1","12","113","10704","12113010704",107.04,Census Tract 107.04,G5020,S,"17932522","115492",30.6012505,-87.1134037,0.0134619064006669
"107",-87.1,30.8,"30.8, -87.1","12","113","10400","12113010400",104,Census Tract 104,G5020,S,"209654645","1625706",30.7557288,-87.0593323,0.0601148980929859
"108",-87,30.4,"30.4, -87.0","12","113","10815","12113010815",108.15,Census Tract 108.15,G5020,S,"19585480","41951549",30.4052379,-86.9943586,0.00769811602731667
"109",-87,30.5,"30.5, -87.0","12","113","10702","12113010702",107.02,Census Tract 107.02,G5020,S,"94691197","113435455",30.5006583,-87.0672102,0.0672134238298474
"110",-87,30.6,"30.6, -87.0","12","113","10809","12113010809",108.09,Census Tract 108.09,G5020,S,"57857429","9641033",30.5887168,-86.9845823,0.0191053938857601
"111",-87,30.7,"30.7, -87.0","12","113","10502","12113010502",105.02,Census Tract 105.02,G5020,S,"66667405","463269",30.6831027,-87.0726823,0.0746206102935344
"112",-87,30.8,"30.8, -87.0","12","113","10400","12113010400",104,Census Tract 104,G5020,S,"209654645","1625706",30.7557288,-87.0593323,0.0740287847578857
"113",-86.9,30.4,"30.4, -86.9","12","113","10817","12113010817",108.17,Census Tract 108.17,G5020,S,"12422626","11192511",30.403391,-86.8755829,0.0246514432317946
"114",-86.9,30.5,"30.5, -86.9","12","113","10802","12113010802",108.02,Census Tract 108.02,G5020,S,"296427711","27631045",30.5155778,-86.8881802,0.0195544246880407
"115",-86.9,30.6,"30.6, -86.9","12","113","10808","12113010808",108.08,Census Tract 108.08,G5020,S,"184173670","1902644",30.6450492,-86.8915051,0.0458431428531009
"116",-86.9,30.8,"30.8, -86.9","12","113","10100","12113010100",101,Census Tract 101,G5020,S,"833794129","3428575",30.8643545,-86.9273984,0.069944077610687
"117",-86.8,30.4,"30.4, -86.8","12","113","10819","12113010819",108.19,Census Tract 108.19,G5020,S,"24831689","13143898",30.4051178,-86.8446916,0.0449836746764941
"118",-86.8,30.6,"30.6, -86.8","12","113","10808","12113010808",108.08,Census Tract 108.08,G5020,S,"184173670","1902644",30.6450492,-86.8915051,0.101993204414073
"119",-86.8,30.7,"30.7, -86.8","12","113","10808","12113010808",108.08,Census Tract 108.08,G5020,S,"184173670","1902644",30.6450492,-86.8915051,0.10673693712418
"120",-86.7,30.4,"30.4, -86.7","12","91","23200","12091023200",232,Census Tract 232,G5020,S,"18390529","24012459",30.3953983,-86.7211966,0.0216903548714589
"121",-86.7,30.5,"30.5, -86.7","12","91","21801","12091021801",218.01,Census Tract 218.01,G5020,S,"2849712","68687",30.4584552,-86.649452,0.0654298915713657
"122",-86.7,30.7,"30.7, -86.7","12","91","20600","12091020600",206,Census Tract 206,G5020,S,"48031168","520651",30.7212354,-86.6102353,0.0922423090520327
"123",-86.6,30.4,"30.4, -86.6","12","91","22600","12091022600",226,Census Tract 226,G5020,S,"2519094","492248",30.4061804,-86.6105571,0.0122331396039617
"124",-86.6,30.5,"30.5, -86.6","12","91","21700","12091021700",217,Census Tract 217,G5020,S,"3771185","700661",30.4602746,-86.6095665,0.0408610490248349
"125",-86.6,30.7,"30.7, -86.6","12","91","20600","12091020600",206,Census Tract 206,G5020,S,"48031168","520651",30.7212354,-86.6102353,0.0235733658871656
"126",-86.6,30.8,"30.8, -86.6","12","91","20500","12091020500",205,Census Tract 205,G5020,S,"22734238","704369",30.7738437,-86.5887086,0.0284894321398268
"127",-86.5,30.4,"30.4, -86.5","12","91","23306","12091023306",233.06,Census Tract 233.06,G5020,S,"2828611","1389830",30.4039821,-86.5008882,0.00407995338821709
"128",-86.5,30.5,"30.5, -86.5","12","91","21200","12091021200",212,Census Tract 212,G5020,S,"32736159","5378115",30.4899109,-86.5146906,0.0178214384147241
"129",-86.5,30.7,"30.7, -86.5","12","91","20700","12091020700",207,Census Tract 207,G5020,S,"25338694","676330",30.7251351,-86.5447156,0.0512957906203844
"130",-86.5,30.8,"30.8, -86.5","12","91","20302","12091020302",203.02,Census Tract 203.02,G5020,S,"224181388","2977435",30.8004229,-86.4774228,0.0225811603831608
"131",-86.4,30.4,"30.4, -86.4","12","91","23308","12091023308",233.08,Census Tract 233.08,G5020,S,"5972757","1193077",30.3979352,-86.4143433,0.014491157784311
"132",-86.4,30.5,"30.5, -86.4","12","91","21001","12091021001",210.01,Census Tract 210.01,G5020,S,"5864920","2577467",30.4688778,-86.420131,0.0370654622774302
"133",-86.4,30.8,"30.8, -86.4","12","91","20302","12091020302",203.02,Census Tract 203.02,G5020,S,"224181388","2977435",30.8004229,-86.4774228,0.0774239549767966
"134",-86.4,30.9,"30.9, -86.4","12","91","20200","12091020200",202,Census Tract 202,G5020,S,"220545804","2122190",30.9183838,-86.461669,0.0643508326553701
"135",-86.3,30.4,"30.4, -86.3","12","131","950603","12131950603",9506.03,Census Tract 9506.03,G5020,S,"20399026","59979081",30.3875676,-86.3648559,0.0660367498789095
"136",-86.3,30.7,"30.7, -86.3","12","131","950302","12131950302",9503.02,Census Tract 9503.02,G5020,S,"728049799","5506084",30.6279748,-86.2691635,0.0783487023969724
"137",-86.3,30.8,"30.8, -86.3","12","131","950101","12131950101",9501.01,Census Tract 9501.01,G5020,S,"374885687","5083489",30.8396071,-86.3245073,0.0465760681434107
"138",-86.2,30.3,"30.3, -86.2","12","131","990000","12131990000",9900,Census Tract 9900,G5020,S,"0","219885326",30.3020648,-86.1947138,0.00567514841039444
"139",-86.2,30.4,"30.4, -86.2","12","131","950601","12131950601",9506.01,Census Tract 9506.01,G5020,S,"104445364","46304890",30.3828134,-86.2190739,0.0256747518151543
"140",-86.2,30.5,"30.5, -86.2","12","131","950502","12131950502",9505.02,Census Tract 9505.02,G5020,S,"51252778","97664012",30.471167,-86.1843747,0.0327946930019145
"141",-86.2,30.8,"30.8, -86.2","12","131","950301","12131950301",9503.01,Census Tract 9503.01,G5020,S,"45000586","5407357",30.7589682,-86.1558344,0.0602843995955825
"142",-86.1,30.3,"30.3, -86.1","12","131","950602","12131950602",9506.02,Census Tract 9506.02,G5020,S,"74232627","16265754",30.3088673,-86.0540744,0.0467738147327009
"143",-86.1,30.4,"30.4, -86.1","12","131","950501","12131950501",9505.01,Census Tract 9505.01,G5020,S,"440378494","36659316",30.4667835,-86.0322685,0.0951188307565809
"144",-86.1,30.5,"30.5, -86.1","12","131","950501","12131950501",9505.01,Census Tract 9505.01,G5020,S,"440378494","36659316",30.4667835,-86.0322685,0.0754380007986641
"145",-86,30.3,"30.3, -86.0","12","131","950602","12131950602",9506.02,Census Tract 9506.02,G5020,S,"74232627","16265754",30.3088673,-86.0540744,0.0547966216536246
"146",-86,30.4,"30.4, -86.0","12","131","950501","12131950501",9505.01,Census Tract 9505.01,G5020,S,"440378494","36659316",30.4667835,-86.0322685,0.0741706947823735
"147",-86,30.7,"30.7, -86.0","12","131","950400","12131950400",9504,Census Tract 9504,G5020,S,"313760368","4110357",30.6399063,-85.9959044,0.0602331031829669
"148",-86,30.9,"30.9, -86.0","12","59","960200","12059960200",9602,Census Tract 9602,G5020,S,"562047243","15510987",30.8440602,-85.9340798,0.0864565439517384
"149",-85.9,30.2,"30.2, -85.9","12","5","2702","12005002702",27.02,Census Tract 27.02,G5020,S,"7057938","3216428",30.2355612,-85.9095326,0.0368167001264373
"150",-85.9,30.3,"30.3, -85.9","12","5","2701","12005002701",27.01,Census Tract 27.01,G5020,S,"16434139","4431276",30.2577181,-85.9454833,0.0621006412728563
"151",-85.9,30.4,"30.4, -85.9","12","5","201","12005000201",2.01,Census Tract 2.01,G5020,S,"506495332","11346206",30.3712659,-85.7697628,0.133369324683949
"152",-85.9,30.5,"30.5, -85.9","12","131","950501","12131950501",9505.01,Census Tract 9505.01,G5020,S,"440378494","36659316",30.4667835,-86.0322685,0.136375554864128
"153",-85.9,30.7,"30.7, -85.9","12","131","950400","12131950400",9504,Census Tract 9504,G5020,S,"313760368","4110357",30.6399063,-85.9959044,0.113176440653737
"154",-85.9,30.9,"30.9, -85.9","12","59","960200","12059960200",9602,Census Tract 9602,G5020,S,"562047243","15510987",30.8440602,-85.9340798,0.0655033891648344
"155",-85.9,31,"31.0, -85.9","12","59","960200","12059960200",9602,Census Tract 9602,G5020,S,"562047243","15510987",30.8440602,-85.9340798,0.159620343290195
"156",-85.8,30.1,"30.1, -85.8","12","5","2606","12005002606",26.06,Census Tract 26.06,G5020,S,"1223063","1292146",30.1515198,-85.7675687,0.0608775739638965
"157",-85.8,30.6,"30.6, -85.8","12","133","970200","12133970200",9702,Census Tract 9702,G5020,S,"362840629","23036956",30.6720954,-85.7854788,0.0735432658412685
"158",-85.8,30.7,"30.7, -85.8","12","133","970200","12133970200",9702,Census Tract 9702,G5020,S,"362840629","23036956",30.6720954,-85.7854788,0.0314568267725732
"159",-85.8,30.8,"30.8, -85.8","12","59","960300","12059960300",9603,Census Tract 9603,G5020,S,"229809717","3590883",30.8583434,-85.7764315,0.0629239740942164
"160",-85.7,30.1,"30.1, -85.7","12","5","2607","12005002607",26.07,Census Tract 26.07,G5020,S,"8096667","23598250",30.1051469,-85.7007151,0.00519633982914783
"161",-85.7,30.3,"30.3, -85.7","12","5","1403","12005001403",14.03,Census Tract 14.03,G5020,S,"2048548","1856707",30.2523874,-85.6570481,0.064123516687488
"162",-85.7,30.6,"30.6, -85.7","12","133","970302","12133970302",9703.02,Census Tract 9703.02,G5020,S,"418791677","28501932",30.528566,-85.7625659,0.0949595082064427
"163",-85.7,30.8,"30.8, -85.7","12","59","960400","12059960400",9604,Census Tract 9604,G5020,S,"189242236","3178777",30.8168256,-85.6610231,0.0424534986658426
